speed,speed_cal_t,position,target_position,angle,angle_cal_t,PID_cal_t
"30","0.0005207061767578125","3.3402952617984876","5.2","0.05","0.01","0.0020363330841064453"
"30","0.007109642028808594","3.3450965232823306","5.22","0.05","0.01","0.012285947799682617"
"30","0.000993490219116211","3.3498743704664475","5.19","0.05","0.01","0.002988576889038086"
"30","0.0019986629486083984","3.3546383302699594","5.22","0.05","0.01","0.004785060882568359"
"30","0.000997781753540039","3.359398484470642","5.2","0.05","0.01","0.003436565399169922"
"30","0.0","3.3641636033157356","5.23","0.05","0.01","0.0030295848846435547"
"30","0.0017237663269042969","3.3689410318652406","5.27","0.06","0.01","0.007889747619628906"
"30","0.002996683120727539","3.373721802373419","5.2","0.05","0.01","0.010058879852294922"
"30","0.003631591796875","3.3785831021561696","5.43","0.06","0.01","0.00654149055480957"
"30","0.0020780563354492188","3.3834755743603404","5.22","0.05","0.01","0.01125645637512207"
"30","0.002179384231567383","3.3884591212462927","3.26","0.01","0.01","0.004453182220458984"
"30","0.0029921531677246094","3.3935547408087725","5.23","0.05","0.01","0.0049877166748046875"
"30","0.002073049545288086","3.398454597857094","5.23","0.05","0.01","0.004990100860595703"
"30","0.0009953975677490234","3.4033226813015585","5.29","0.06","0.01","0.002991199493408203"
"30","0.001995086669921875","3.4082243842657762","5.27","0.05","0.01","0.0039904117584228516"
"30","0.001993417739868164","3.4132651480682754","5.25","0.05","0.01","0.008005380630493164"
"30","0.008118391036987305","3.4184082850451536","5.27","0.05","0.01","0.027446985244750977"
"30","0.007983207702636719","3.4236317803413834","5.3","0.06","0.01","0.01696610450744629"
"30","0.007062435150146484","3.4289112818234964","5.31","0.06","0.01","0.01902627944946289"
"30","0.0009949207305908203","3.4343082581460056","5.3","0.05","0.01","0.00505828857421875"
"30","0.0066280364990234375","3.439860573891318","5.35","0.06","0.01","0.015495061874389648"
"30","0.003002166748046875","3.4454929351369423","5.09","0.05","0.01","0.0049991607666015625"
"30","0.0019974708557128906","3.4512615780102083","5.39","0.06","0.01","0.005012989044189453"
"30","0.0019943714141845703","3.457103564481055","5.41","0.06","0.01","0.0049893856048583984"
"30","0.002019643783569336","3.4630676074251334","5.36","0.06","0.01","0.0046045780181884766"
"30","0.0029485225677490234","3.469173451355935","5.12","0.05","0.01","0.004944801330566406"
"30","0.0019941329956054688","3.4754409478643096","5.12","0.05","0.01","0.00399017333984375"
"30","0.0029909610748291016","3.4818021093068494","5.35","0.05","0.01","0.004986763000488281"
"30","0.0019521713256835938","3.4882333878015994","5.17","0.05","0.01","0.004945993423461914"
"30","0.001993417739868164","3.4947334238138685","5.37","0.06","0.01","0.0049860477447509766"
"30","0.006968259811401367","3.5012931480745193","5.39","0.06","0.01","0.02271413803100586"
"30","0.010452985763549805","3.5079878042268646","5.35","0.05","0.01","0.01668262481689453"
"30","0.010483026504516602","3.5148593635477825","5.17","0.05","0.01","0.017554044723510742"
"30","0.00399017333984375","3.521841068754809","5.2","0.05","0.01","0.0070858001708984375"
"30","0.0029876232147216797","3.5289057203237815","5.42","0.06","0.01","0.0059816837310791016"
"30","0.0","3.536032955766492","5.46","0.06","0.01","0.0030117034912109375"
"30","0.0010132789611816406","3.5432977837104485","5.42","0.06","0.01","0.0020139217376708984"
"30","0.0029921531677246094","3.5507283658479456","5.4","0.05","0.01","0.005228519439697266"
"30","0.00299072265625","3.5583441134996816","5.46","0.06","0.01","0.0060100555419921875"
"30","0.0029926300048828125","3.5660526647015454","5.41","0.05","0.01","0.00498652458190918"
"30","0.0006556510925292969","3.5739141966811823","5.42","0.05","0.01","0.0026497840881347656"
"30","0.0020372867584228516","3.5818754778111037","5.43","0.05","0.01","0.0029916763305664062"
"30","0.0010228157043457031","3.58991906603257","5.49","0.06","0.01","0.003293275833129883"
"30","0.0006358623504638672","3.5980298799037667","5.52","0.06","0.01","0.0016326904296875"
"30","0.0021021366119384766","3.6062892069414176","5.4","0.05","0.01","0.0050089359283447266"
"30","0.0019922256469726562","3.6147425123807855","5.48","0.05","0.01","0.004502534866333008"
"30","0.001512289047241211","3.6233177374138785","5.34","0.05","0.01","0.004496574401855469"
"30","0.0010445117950439453","3.6319858573493593","5.48","0.05","0.01","0.0032045841217041016"
"30","0.0009965896606445312","3.6407421865272553","5.21","0.05","0.01","0.0022683143615722656"
"30","0.002930164337158203","3.649591856559553","5.32","0.05","0.01","0.004925251007080078"
"30","0.0020072460174560547","3.658541866257549","5.53","0.05","0.01","0.004004001617431641"
"30","0.0","3.667598082494258","5.52","0.05","0.01","0.001993894577026367"
"30","0.002066373825073242","3.6767647939994483","5.54","0.05","0.01","0.005181312561035156"
"30","0.002631664276123047","3.6860451670680487","5.54","0.05","0.01","0.004624843597412109"
"30","0.0029942989349365234","3.6954417896099807","5.74","0.06","0.01","0.0049896240234375"
"30","0.001994609832763672","3.704941682199335","5.53","0.05","0.01","0.00401616096496582"
"30","0.00299072265625","3.7146438459771023","5.43","0.05","0.01","0.00498509407043457"
"30","0.002990245819091797","3.7244944943993614","5.83","0.06","0.01","0.0049855709075927734"
"30","0.0029916763305664062","3.7344535727792847","5.73","0.06","0.01","0.003992557525634766"
"30","0.0028162002563476562","3.7445979998848755","5.61","0.05","0.01","0.005331277847290039"
"30","0.0009963512420654297","3.75497201055167","5.67","0.06","0.01","0.0019931793212890625"
"30","0.001992940902709961","3.765480141849125","5.6","0.05","0.01","0.004560947418212891"
"30","0.0020465850830078125","3.7761906308994755","5.47","0.05","0.01","0.003992557525634766"
"30","0.000997304916381836","3.787040801653568","5.66","0.05","0.01","0.002015352249145508"
"30","0.0009965896606445312","3.7980085399153003","5.81","0.06","0.01","0.0030155181884765625"
"30","0.0019927024841308594","3.809077589448094","5.69","0.06","0.01","0.002990245819091797"
"30","0.001994609832763672","3.820341011030212","5.71","0.06","0.01","0.004987239837646484"
"30","0.0010228157043457031","3.8318333560182105","5.57","0.05","0.01","0.002017498016357422"
"30","0.0020799636840820312","3.8435741826690717","5.75","0.06","0.01","0.003989696502685547"
"30","0.0009958744049072266","3.855453817031328","5.23","0.04","0.01","0.0029904842376708984"
"30","0.0009965896606445312","3.8675565755651258","5.54","0.05","0.01","0.0029909610748291016"
"30","0.0009968280792236328","3.8797138377628646","5.81","0.06","0.01","0.001993894577026367"
"30","0.001993894577026367","3.891950140733905","5.42","0.05","0.01","0.004987955093383789"
"30","0.0030896663665771484","3.904400995804499","5.88","0.06","0.01","0.005393505096435547"
"30","0.0009970664978027344","3.9170056192763036","5.96","0.06","0.01","0.002251148223876953"
"30","0.0011758804321289062","3.929832286019809","6.07","0.06","0.01","0.0021767616271972656"
"30","0.0027611255645751953","3.942903497734125","6.18","0.06","0.01","0.004988431930541992"
"30","0.0010044574737548828","3.9562195410936845","5.79","0.05","0.01","0.0029959678649902344"
"30","0.0005166530609130859","3.9697893409788327","5.65","0.05","0.01","0.0025169849395751953"
"30","0.0019919872283935547","3.9835138411937057","5.48","0.05","0.01","0.003987789154052734"
"30","0.0029938220977783203","3.9973599986438546","5.93","0.06","0.01","0.005512237548828125"
"30","0.002991914749145508","4.011312593318187","6.0","0.06","0.01","0.005671024322509766"
"30","0.002953052520751953","4.025477012893999","5.82","0.05","0.01","0.004945278167724609"
"30","0.0009968280792236328","4.039915115451534","5.95","0.06","0.01","0.0019941329956054688"
"30","0.000995635986328125","4.0547184340216464","6.11","0.06","0.01","0.001993894577026367"
"30","0.001966714859008789","4.069995760004713","6.01","0.06","0.01","0.004957675933837891"
"30","0.0029935836791992188","4.0857757069307645","4.35","0.02","0.01","0.005984306335449219"
"30","0.0005745887756347656","4.101760976944465","4.43","0.02","0.01","0.003603696823120117"
"30","0.00099945068359375","4.117425516632536","5.72","0.05","0.01","0.0019960403442382812"
"30","0.0029942989349365234","4.133001041677899","4.4","0.02","0.01","0.004986286163330078"
"30","0.001994609832763672","4.148389379314792","4.0","0.01","0.01","0.004099607467651367"
"30","0.0020248889923095703","4.163381319452849","4.42","0.02","0.01","0.00501561164855957"
"30","0.0027039051055908203","4.192633068162171","4.1","0.01","0.01","0.005543708801269531"
"30","0.003009796142578125","4.206910959586048","4.13","0.01","0.01","0.006001472473144531"
"30","0.001992464065551758","4.220918847374671","4.12","0.01","0.01","0.0041332244873046875"
"30","0.0009961128234863281","4.234685625991519","4.15","0.01","0.01","0.001993894577026367"
"30","0.0019903182983398438","4.248243969759909","4.08","0.01","0.01","0.003007650375366211"
"30","0.0019826889038085938","4.261620059665954","4.16","0.01","0.01","0.004353523254394531"
"30","0.0010311603546142578","4.274833046646603","4.94","0.03","0.01","0.002992391586303711"
"30","0.002507925033569336","4.288146303410542","4.11","0.01","0.01","0.0035097599029541016"
"30","0.0029942989349365234","4.301386488028212","4.22","0.01","0.01","0.005006074905395508"
"30","0.001995563507080078","4.314462274234376","4.22","0.01","0.01","0.00507044792175293"
"30","0.0010223388671875","4.327371443830456","4.33","0.01","0.01","0.0030198097229003906"
"30","0.0009975433349609375","4.340138577475843","4.26","0.01","0.01","0.003989219665527344"
"30","0.0009541511535644531","4.35279031067369","4.35","0.01","0.01","0.0029480457305908203"
"30","0.0029926300048828125","4.365347412912733","4.29","0.01","0.01","0.00498652458190918"
"30","0.0009875297546386719","4.37782460820052","5.03","0.03","0.01","0.0030829906463623047"
"30","0.002017974853515625","4.390479719389375","4.38","0.01","0.01","0.005012989044189453"
"30","0.0019910335540771484","4.403138431575078","4.36","0.01","0.01","0.005003929138183594"
"30","0.003022432327270508","4.41570565722964","4.39","0.01","0.01","0.005013465881347656"
"30","0.0010058879852294922","4.4281750646691975","4.43","0.01","0.01","0.001994609832763672"
"30","0.0015056133270263672","4.440567087153234","4.42","0.01","0.01","0.0035963058471679688"
"30","0.0010142326354980469","4.452904278438178","5.15","0.03","0.01","0.0030112266540527344"
"30","0.0034830570220947266","4.4654504577772665","4.38","0.01","0.01","0.0060100555419921875"
"30","0.002994537353515625","4.478033438782122","4.46","0.01","0.01","0.0049893856048583984"
"30","0.001996278762817383","4.490557242926239","4.46","0.01","0.01","0.004862308502197266"
"30","0.002996206283569336","4.50301311871233","4.49","0.01","0.01","0.00499725341796875"
